year,county,zipcode,rate,num1,num2,num3
2019,Contra Costa:,94530,3.34902351678805,0.08478993433291,29.6609453872804,3.34902351678805
2019,Contra Costa:,94582,2.10369648244138,0.05326098359968,63.5231436389306,2.10369648244138
2019,Contra Costa:,94505,0.0,0,0,0
2019,Contra Costa:,94514,0.0,0,0,0
2019,Contra Costa:,94528,0.0,0,0,0
2019,Contra Costa:,94548,0.0,0,0,0
2019,Contra Costa:,94556,0.0,0,0,0
2019,Contra Costa:,94569,0.0,0,0,0
2019,Contra Costa:,94596,0.0,0,31.4011102485887,0
2019,Contra Costa:,94598,0.0,0,27.6556008532882,0
2019,Contra Costa:,94803,0.0,0,27.6821322067888,0
2019,Contra Costa:,94805,0.0,0,48.3242920207963,0
2019,Del Norte:,California,7.9045,7.63075,8.18625,0.1425
2019,Del Norte:,95531,4.83426715343268,0.12239304753537,36.6783755295333,4.83426715343268
2019,Del Norte:,Del Norte,4.6675,5.09,25.955,2.335
2019,Del Norte:,00049,0.0,,,
2019,Del Norte:,95543,0.0,0,0,0
2019,Del Norte:,95548,0.0,0,527.046085741019,0
2019,Del Norte:,95567,0.0,0,0,0
2019,El Dorado:,95726,13.6813311336105,0.34638131461024,98.0654061862247,13.6813311336105
2019,El Dorado:,95667,12.3041298033514,2.52103842782204,37.2940358598197,7.12485059481624
2019,El Dorado:,95633,12.2894462951319,0.31114184153339,751.300140779892,12.2894462951319
2019,El Dorado:,California,7.9045,7.63075,8.18625,0.1425
2019,El Dorado:,95762,7.02559862949167,0.84693151136979,33.1869203963515,4.97510657773749
2019,El Dorado:,El Dorado,5.805,2.675,11.2675,1.925
2019,El Dorado:,96150,5.06659486503088,0.46909528113011,27.138358134532,3.87766987891343
2019,El Dorado:,95682,1.90022524466513,0.04810953787133,24.1757739185986,1.90022524466513
2019,El Dorado:,00051,0.0,,,
2019,El Dorado:,00052,0.0,,,
2019,El Dorado:,95614,0.0,0,0,0
2019,El Dorado:,95619,0.0,0,217.499925150679,0
2019,El Dorado:,95623,0.0,0,0,0
2019,El Dorado:,95634,0.0,0,0,0
2019,El Dorado:,95635,0.0,0,0,0
2019,El Dorado:,95636,0.0,0,1715.83274285536,0
2019,El Dorado:,95651,0.0,0,0,0
2019,El Dorado:,95664,0.0,0,0,0
2019,El Dorado:,95672,0.0,0,0,0
2019,El Dorado:,95684,0.0,0,0,0
2019,El Dorado:,95709,0.0,0,535.140757620201,0
2019,El Dorado:,95720,0.0,0,0,0
2019,El Dorado:,95721,0.0,0,0,0
2019,El Dorado:,95735,0.0,0,0,0
2019,Fresno:,93675,17.0310241195957,0.43118819843573,305.191321505743,17.0310241195957
2019,Fresno:,93630,15.6275395852392,3.22277212165393,55.9539700040936,9.02256706425943
2019,Fresno:,93705,15.3181427133574,4.64139994978278,39.986930806422,7.17561352559439
2019,Fresno:,93648,15.1265303048291,1.83148395453139,88.1895412767259,10.6968320024065
